,order_id,product_id,product_category,price,is_first_time_customer,order_day_of_week,returned,category_id,price_percentile
0,ORD-1000,P-100,Engine,34.18,0,4,0,2000,0.4492753623188406
1,ORD-1001,P-101,Exhaust,54.07,1,0,0,3001,0.7
2,ORD-1002,P-102,Brakes,46.28,0,6,0,2,0.6212121212121212
3,ORD-1003,P-103,Filters,12.39,0,5,0,4003,0.08333333333333333
4,ORD-1004,P-104,Electronics,28.15,0,4,0,1004,0.39215686274509803
5,ORD-1005,P-105,Exhaust,27.21,0,5,0,3005,0.45161290322580644
6,ORD-1006,P-106,Filters,60.38,0,2,0,4006,0.7454545454545455
7,ORD-1007,P-107,Engine,33.89,0,6,0,2007,0.3898305084745763
8,ORD-1008,P-108,Engine,50.09,1,6,0,2008,0.6212121212121212
9,ORD-1009,P-109,Suspension,22.36,0,5,0,6009,0.2857142857142857
10,ORD-1010,P-110,Engine,77.14,1,6,1,2010,0.8095238095238095
11,ORD-1011,P-111,Brakes,10.47,1,0,0,11,0.015151515151515152
12,ORD-1012,P-112,Engine,54.79,0,2,0,2012,0.6037735849056604
13,ORD-1013,P-113,Filters,30.34,1,6,1,4013,0.3409090909090909
14,ORD-1014,P-114,Suspension,17.8,0,3,0,6014,0.2
15,ORD-1015,P-115,Suspension,42.11,0,2,0,6015,0.6923076923076923
16,ORD-1016,P-116,Electronics,47.05,0,4,1,1016,0.6170212765957447
17,ORD-1017,P-117,Exhaust,87.38,0,4,0,3017,0.9354838709677419
18,ORD-1018,P-118,Engine,62.15,0,1,1,2018,0.7543859649122807
19,ORD-1019,P-119,Filters,122.77,1,2,0,4019,0.9375
20,ORD-1020,P-120,Engine,33.84,0,5,0,2020,0.5789473684210527
21,ORD-1021,P-121,Brakes,7.91,0,6,0,21,0.016666666666666666
22,ORD-1022,P-122,Brakes,43.49,0,4,0,22,0.5789473684210527
23,ORD-1023,P-123,Brakes,60.35,0,5,0,23,0.6
24,ORD-1024,P-124,Brakes,61.61,1,4,0,24,0.7619047619047619
25,ORD-1025,P-125,Engine,42.25,0,3,0,2025,0.5757575757575758
26,ORD-1026,P-126,Suspension,12.44,0,1,0,6026,0.022727272727272728
27,ORD-1027,P-127,Suspension,29.0,0,0,0,6027,0.3023255813953488
28,ORD-1028,P-128,Electronics,31.54,1,4,0,1028,0.35
29,ORD-1029,P-129,Suspension,35.43,0,2,0,6029,0.37254901960784315
30,ORD-1030,P-130,Exhaust,26.27,1,5,0,3030,0.20588235294117646
31,ORD-1031,P-131,Electronics,54.34,0,6,0,1031,0.7560975609756098
32,ORD-1032,P-132,Suspension,20.41,0,2,0,6032,0.2391304347826087
33,ORD-1033,P-133,Brakes,49.61,1,0,0,33,0.6825396825396826
34,ORD-1034,P-134,Engine,104.91,1,0,0,2034,0.9315068493150684
35,ORD-1035,P-135,Suspension,97.29,0,0,0,6035,0.9302325581395349
36,ORD-1036,P-136,Electronics,39.99,0,0,0,1036,0.6122448979591837
37,ORD-1037,P-137,Electronics,34.09,0,1,0,1037,0.4
38,ORD-1038,P-138,Suspension,36.32,1,5,0,6038,0.5609756097560976
39,ORD-1039,P-139,Electronics,129.12,1,3,1,1039,0.9743589743589743
40,ORD-1040,P-140,Brakes,20.79,0,2,0,40,0.29577464788732394
41,ORD-1041,P-141,Suspension,16.69,0,0,0,6041,0.041666666666666664
42,ORD-1042,P-142,Electronics,37.73,1,5,0,1042,0.5641025641025641
43,ORD-1043,P-143,Electronics,22.72,1,2,0,1043,0.2653061224489796
44,ORD-1044,P-144,Exhaust,56.32,0,5,0,3044,0.7142857142857143
45,ORD-1045,P-145,Exhaust,74.54,0,4,0,3045,0.8387096774193549
46,ORD-1046,P-146,Brakes,44.89,0,3,0,46,0.5666666666666667
47,ORD-1047,P-147,Suspension,49.6,1,0,1,6047,0.6122448979591837
48,ORD-1048,P-148,Brakes,37.68,0,0,0,48,0.4142857142857143
49,ORD-1049,P-149,Electronics,53.26,0,3,0,1049,0.6136363636363636
50,ORD-1050,P-150,Suspension,86.44,1,1,0,6050,0.8888888888888888
51,ORD-1051,P-151,Engine,94.85,1,4,0,2051,0.8823529411764706
52,ORD-1052,P-152,Brakes,56.9,0,3,0,52,0.7301587301587301
53,ORD-1053,P-153,HVAC,43.17,1,3,0,5053,0.6666666666666666
54,ORD-1054,P-154,Electronics,79.43,0,3,0,1054,0.8536585365853658
55,ORD-1055,P-155,Brakes,114.62,0,6,0,55,0.9464285714285714
56,ORD-1056,P-156,Suspension,35.56,0,6,0,6056,0.4222222222222222
57,ORD-1057,P-157,Exhaust,116.56,1,1,1,3057,0.9285714285714286
58,ORD-1058,P-158,Filters,124.08,1,2,0,4058,0.9272727272727272
59,ORD-1059,P-159,Filters,37.46,0,6,0,4059,0.3684210526315789
60,ORD-1060,P-160,Exhaust,138.82,0,3,0,3060,0.96
61,ORD-1061,P-161,Exhaust,49.55,1,3,0,3061,0.6333333333333333
62,ORD-1062,P-162,HVAC,60.6,0,2,0,5062,0.8333333333333334
63,ORD-1063,P-163,Filters,34.26,0,3,0,4063,0.5238095238095238
64,ORD-1064,P-164,HVAC,29.61,0,0,0,5064,0.3076923076923077
65,ORD-1065,P-165,Filters,44.46,0,2,0,4065,0.6222222222222222
66,ORD-1066,P-166,Brakes,62.79,0,0,0,66,0.7818181818181819
67,ORD-1067,P-167,Filters,118.05,0,6,0,4067,0.9761904761904762
68,ORD-1068,P-168,Exhaust,38.61,0,4,0,3068,0.6285714285714286
69,ORD-1069,P-169,Electronics,96.36,0,2,0,1069,0.9375
70,ORD-1070,P-170,HVAC,12.26,0,3,0,5070,0.15
71,ORD-1071,P-171,Exhaust,40.62,1,2,0,3071,0.5161290322580645
72,ORD-1072,P-172,Electronics,64.82,0,1,0,1072,0.7540983606557377
73,ORD-1073,P-173,Electronics,29.01,1,0,0,1073,0.3333333333333333
74,ORD-1074,P-174,Engine,30.64,0,4,0,2074,0.2714285714285714
75,ORD-1075,P-175,Brakes,29.0,0,6,1,75,0.375
76,ORD-1076,P-176,Suspension,29.19,0,5,0,6076,0.4
77,ORD-1077,P-177,Brakes,54.95,0,6,0,77,0.5714285714285714
78,ORD-1078,P-178,Suspension,9.87,0,6,0,6078,0.021739130434782608
79,ORD-1079,P-179,Electronics,34.18,0,5,1,1079,0.32558139534883723
80,ORD-1080,P-180,Filters,23.64,0,0,0,4080,0.22
81,ORD-1081,P-181,Electronics,11.31,1,5,0,1081,0.022727272727272728
82,ORD-1082,P-182,Suspension,88.29,0,1,1,6082,0.8837209302325582
83,ORD-1083,P-183,Exhaust,50.16,0,5,0,3083,0.6428571428571429
84,ORD-1084,P-184,Brakes,54.83,0,4,0,84,0.7627118644067796
